15001,FamilyQuestions,"Is the social worker in breach of fourth amendment? My 14yr old daughter missed several days of school because her bus stop is almost a half mile down the road. To make a long story short, a c.p.s. worker went to her school pulled her from class to question her and during an investigation the social worker came into my home when I wasn't home. Also, without any supervision she came in and questioned my daughter and spoke of things I find inappropriate, was she in breach of the 4th amendment?"
15002,ImmigrationQuestions,Would I get my greencard if I marry a man in jail? Would I get my greencard if I marry a man in jail?
15003,RealEstateQuestions,"How long does the landlord have to give me my deposit? I moved out of a rental property two months early but paid the rent in full for the lease, plus gave my thirty days notice. How long does the landlord have to give me my deposit: 30 days after i moved out or thirty days after the actual end of the lease agreement? I had to move out because of a job transfer."
15004,ConsumerQuestions,"Can you return a used car with no warranty and get your down payment back? Can you return a used car to a ""buy here pay here"" dealer with no warranty and get your down payment back?"
15005,FamilyQuestions,"If i am a beneficiary of a life ins policy, is that considered part of the estate? If i am a beneficiary of a life ins policy, is that considered part of the estate?"
15006,EmploymentQuestions,Legal to hold an employee&#39;s first check for 6 weeks? Is it legal to hold an employee's first check for 6 weeks?
15007,CriminalQuestions,"How can I fix my father&#39;s false claim? My father claimed somewhere that I am an incompassitated adult that he cares for and ruining my chances for college grants. I do not know or ever have lived with my father except for staying with him for four months in 2009. Since then I called the IRS and they said he signed something saying I am incompassitated, how can I fix this?"
15008,FamilyQuestions,What can I do if I want my husband to leave the house but I want him to stay with the house? I have been married for 23 years and have paid for my house since we purchased it. He has only helped me for about 4 to 5 years. I want him to leave the house and I want to stay with the house. What can I do?
15009,FamilyQuestions,I would like to change my stepson&#39;s last name. What do I need to do to change it? I have a wonderful step son age 4 whose father just was placed on child support. His biological father is not on the birth certificate and was never married to my wife. My wife and I would love to change his last name to mine. What do I need to do in order to make this happen?
15010,ImmigrationQuestions,Denied the permanent resident status & entrance to USA after 10-month period of staying abroad? Can I be denied the permanent resident status and entrance to USA after a period of 10 months of staying abroad?
15011,FamilyQuestions,"Can the parent with supervised visitation take custody of the child if the other parent is not around? If one parent has full temporary custody and the other has supervised visitation, can the parent with supervised visitation take custody of the child if the other parent is not around?"
15012,FamilyQuestions,"How to ask judge for continuum? Our hearing is this coming up Thursday, concerning sole custody of our three children. I am without representation and horrified. I am still seeking counsel but not sure how to ask the judge for a continuum. So, what is the proper way to ask a judge for a continuum, and will I look unfit by asking?"
15013,RealEstateQuestions,Can I be served with court order papers on a Saturday evening? Can I be served with court order papers on a Saturday evening?
15014,RealEstateQuestions,"Can I go change the locks and have a tenant move in now if the former tenant has moved out? I am a landlord and have filed count I and Count II eviction and am currently waiting on the response from the judge since the tenant responded within the five day time frame. I realize that more than likely the judge will set it for hearing. My question is since the tenant stated in writing that he has moved out and does not see a need to be evicted, can I go ahead and change the locks and have a tenant move in now? I am hoping I do not have to wait for the hearing?thank you"
15015,FamilyQuestions,Necessary for an unwed father to take a DNA test if he signed the birth certificate? In Florida is it necessary for an unwed father to take a DNA test if he signed the birth certificate at the time of birth and the mother does not deny paternity? Is this enough for him to establish his rights as the father?
15016,EmploymentQuestions,"If hired as a full time employee and advised to cut back to 20 hours a week, Is this within laws? If you were hired as a full time employee and the Dr advised the management company that to save money this persons hours should be cut back to 20 hours a week, Is this within laws? She was at the hospital and she should be told not to come in at all but every-time she was not their a temp was called in to replace her then last week she came to work and because there were no more then 15 people to be seen she was told to leave."
15017,FamilyQuestions,How old does a cps case need to be in order to get exempt? How old does a cps case need to be in order to get exempt?
15018,CorporateQuestions ContractQuestions,A legally enforceable agreement: to do or not to do something? A legally enforceable agreement: to do or not to do something?
15019,FamilyQuestions,What to do if my wife wants to divorce me after she was the unfaithful & wants me to pay half of the fee? Hi my wife wants to divorce me after she was the unfaithful so now she wants me to pay half of the lawyers fee
15020,FamilyQuestions,Do you have to be separated before you get a divorce in North Carolina?  Do you have to be separated before you get a divorce in North Carolina? and how long do you have to be separated before filing for divorce?
15021,RealEstateQuestions,What is a substitution of trustee in a deed of trust? What is a substitution of trustee in a deed of trust?The document says my husband a married man substitutes a trustee under a deed of trust/
15022,ConsumerQuestions CorporateQuestions,"Is it legal for dealership to charge bank fee for loan without paying bank? Is it legal for a car dealership to charge a customer a ""bank fee"" for a loan but not pay the bank the fee or only a portion of it?"
15023,FamilyQuestions,"How does my Mom regain control of her funds & assets if her former POA refuses to return them to her? How does my Mom regain control of her funds and assets, if her former POA refuses to return them to her?So far, her oldest son, the soon-to-be EX-Power of Attorney, totally denies my Mom any access to her checking accounts and assets. How does she reclaim what is rightfully hers?"
